Name,Platform,DOIs,"Pub Dates",Citations,Code,Description,License,Categories
Nebulosa,R,"10.1093/bioinformatics/btab003, 10.1101/2020.09.29.315879","2021-01-18, NA",223,https://github.com/powellgenomicslab/Nebulosa,"Single-Cell Data Visualisation Using Kernel Gene-Weighted Density Estimation",GPL-3.0,Visualisation
scCATCH,R,10.1016/j.isci.2020.100882,2020-03,223,https://github.com/ZJUFanLab/scCATCH,"Automatic Annotation on Cell Types of Clusters from Single-Cell RNA Sequencing Data",GPL-3.0,"Classification, Marker Genes"
M3Drop,R,"10.1093/bioinformatics/bty1044, 10.1101/065094","2018-12-24, NA",217,https://github.com/tallulandrews/M3Drop,"R package providing functions for fitting a modified Michaelis-Menten (MM) equation to the pattern of dropouts observed in a single-cell sequencing experiment.",GPL-2.0-or-later,"Differential Expression, Marker Genes, Simulation, Visualisation"
Vireo,Python,"10.1101/598748, 10.1186/s13059-019-1865-2","NA, 2019-12-13",217,https://github.com/single-cell-genetics/vireo,"Vireo: Variational Inference for Reconstructing Ensemble Origin by expressed SNPs in multiplexed scRNA-seq data",Apache-2.0,Variants
DEsingle,R,"10.1093/bioinformatics/bty332, 10.1101/173997","2018-04-24, NA",216,https://github.com/miaozhun/DEsingle,"DEsingle is an R package for differential expression (DE) analysis of single-cell RNA-seq (scRNA-seq) data. It will detect differentially expressed genes between two groups of cells in a scRNA-seq raw read counts matrix.",GPL-2.0,"Differential Expression"
VISION,R,"10.1016/j.crmeth.2022.100200, 10.1038/s41467-019-12235-0, 10.1101/2021.09.13.460142, 10.1101/403055","2022-04, 2019-09-26, NA, NA",215,https://github.com/YosefLab/VISION,"VISION aids in the interpretation of single-cell RNA-seq (scRNA-seq) data by selecting for gene signatures which describe coordinated variation between cells",MIT,"Classification, Dimensionality Reduction, Gene Sets, Interactive, Visualisation"
scTDA,Python,10.1038/nbt.3854,2017-05-01,212,https://github.com/pcamara/scTDA,"scTDA is an object oriented python library for topological data analysis of high-throughput single-cell RNA-seq data. It includes tools for the preprocessing, analysis, and exploration of single-cell RNA-seq data based on topological representations.",GPL-3.0,"Ordering, Quality Control, Visualisation"
DeepImpute,Python,"10.1101/353607, 10.1186/s13059-019-1837-6","NA, 2019-10-18",208,https://github.com/lanagarmire/DeepImpute,"DeepImpute: an accurate and efficient deep learning method for single-cell RNA-seq data imputation",MIT,Imputation
CHETAH,R,"10.1093/nar/gkz543, 10.1101/558908","2019-06-21, NA",207,https://github.com/jdekanter/CHETAH,"CHETAH (CHaracterization of cEll Types Aided by Hierarchical clustering): a selective, hierarchical cell type identification method for single-cell RNA sequencing",AGPL-3.0,"Classification, Interactive, Normalisation, Visualisation"
STREAM,Python/Docker,"10.1038/s41467-019-09670-4, 10.1101/302554","2019-04-23, NA",206,https://github.com/pinellolab/stream,"STREAM is an interactive computational pipeline for reconstructing complex cellular developmental trajectories from sc-qPCR, scRNA-seq or scATAC-seq data.",AGPL-3.0,"Expression Patterns, Interactive, Normalisation, Ordering, Visualisation"
scGNN,Python,"10.1038/s41467-021-22197-x, 10.1101/2020.08.02.233569","2021-03-25, NA",205,https://github.com/scgnn/scGNN,"scGNN (single cell graph neural networks) provides a hypothesis-free deep learning framework for scRNA-Seq analyses",MIT,"Clustering, Imputation, Variable Genes"
dropbead,R,"10.1101/099473, 10.1186/s12915-017-0383-5","NA, 2017-05-19",204,https://github.com/rajewsky-lab/dropbead,"It offers a quick and straightfoward way to explore and perform basic analysis of single cell sequencing data coming from droplet sequencing, such as Drop-seq.",GPL-3.0,"Quality Control, Visualisation"
jackstraw,R,"10.1093/bioinformatics/btaa087, 10.1093/bioinformatics/btu674, 10.1101/248633","2020-03-06, 2014-10-21, NA",201,https://github.com/ncchung/jackstraw,"The jackstraw package provides a statistical test to identify variables (i.e., transcripts, genes) or observations (i.e., single cells) that are significantly associated with latent variables.",GPL-2.0,"Clustering, Dimensionality Reduction, Gene Filtering, Marker Genes, Variable Genes"
SCINA,R,"10.1101/559872, 10.3390/genes10070531","NA, 2019-07-12",198,https://github.com/jcao89757/SCINA,"SCINA is an automatic cell type detection and assignment algorithm for single cell RNA-Seq (scRNA-seq) and Cytof/FACS data.",GPL-2.0,"Classification, Gene Sets, Visualisation"
TRUST4,C/C++,10.1038/s41592-021-01142-2,2021-05-13,198,https://github.com/liulab-dfci/TRUST4,"Tcr Receptor Utilities for Solid Tissue (TRUST) is a computational tool to analyze TCR and BCR sequences using unselected RNA sequencing data, profiled from solid tissues, including tumors",MIT,"Assembly, Immune"
iTALK,R,10.1101/507871,NA,196,https://github.com/Coolgenome/iTALK,"iTALK is an R toolkit for characterizing and illustrating intercellular communication",CC-BY-NC-ND-4.0,"Differential Expression, Gene Networks, Immune, Visualisation"
scCODA,Python,"10.1038/s41467-021-27150-6, 10.1101/2020.12.14.422688","2021-11-25, NA",195,https://github.com/theislab/scCODA,"scCODA allows for identification of compositional changes in high-throughput sequencing count data, especially cell compositions from scRNA-seq",BSD-3-Clause,Modality
scVAE,Python,"10.1093/bioinformatics/btaa293, 10.1101/318295","2020-05-16, NA",195,https://github.com/chgroenbech/scVAE,"scVAE: Single-cell variational auto-encoders",Apache-2.0,Clustering
HoneyBADGER,R,10.1101/gr.228080.117,2018-06-13,194,https://github.com/JEFworks/HoneyBADGER,"hidden Markov model integrated Bayesian approach for detecting CNV and LOH events from single-cell RNA-seq data",GPL-3.0,"Variants, Visualisation"
glmGamPoi,R/C++,"10.1093/bioinformatics/btaa1009, 10.1101/2020.08.13.249623","2020-12-09, NA",189,https://github.com/const-ae/glmGamPoi,"Fit Gamma-Poisson Generalized Linear Models Reliably",GPL-3.0,"Differential Expression"
zingeR,R,"10.1101/157982, 10.1186/s13059-018-1406-4","NA, 2018-02-26",189,https://github.com/statOmics/zingeR,"zingeR: Zero-Inflated Negative binomial Gene Expression in R.",'-,"Differential Expression, Simulation"
scds,R,"10.1093/bioinformatics/btz698, 10.1101/564021","2019-09-10, NA",188,https://github.com/kostkalab/scds,"single cell doublet scoring: In-silico doublet annotation for single cell RNA sequencing data",MIT,"Quality Control"
cluster_diffex,Python,"10.1101/250704, 10.1186/s13073-018-0567-9","NA, 2018-07-24",187,https://github.com/simslab/cluster_diffex2018,"Representative marker selection, cluster, visualization, and binomial differential expression pipeline",MIT,"Clustering, Differential Expression, Dimensionality Reduction, Marker Genes, Visualisation"
VASC,Python,"10.1016/j.gpb.2018.08.003, 10.1101/199315","2018-10, NA",185,https://github.com/wang-research/VASC,"Variational autoencoder for single cell RNA-seq datasets",'-,"Dimensionality Reduction, Visualisation"
Pegasus,Python,"10.1038/s41592-020-0905-x, 10.1101/823682","2020-07-27, NA",182,https://github.com/klarman-cell-observatory/pegasus,"Pegasus is a tool for analyzing transcriptomes of millions of single cells",BSD-3-Clause,"Clustering, Differential Expression, Dimensionality Reduction, Integration, Normalisation, Ordering, Quality Control, Variable Genes, Visualisation"
scPlot,Python,"10.1038/s41592-020-0905-x, 10.1101/823682","2020-07-27, NA",182,https://github.com/klarman-cell-observatory/scPlot,"Single cell interactive plotting tools",BSD-3-Clause,"Interactive, Visualisation"
SAMap,Python,"10.1101/2020.09.28.317784, 10.7554/eLife.66747","NA, 2021-05-04",181,https://github.com/atarashansky/SAMap,"SAMap uses self-assembling manifolds for cross-species single-cell integration",MIT,Integration
NATMI,Python,10.1038/s41467-020-18873-z,2020-10-06,179,https://github.com/forrest-lab/NATMI,"NATMI: Network Analysis Toolkit for the Multicellular Interactions",MIT,"Gene Networks, Visualisation"
DoubletDecon,R,"10.1016/j.celrep.2019.09.082, 10.1016/j.xpro.2020.100085, 10.1101/2020.04.23.058156, 10.1101/364810","2019-11, 2020-09, NA, NA",176,https://github.com/EDePasquale/DoubletDecon,"A cell-state aware tool for removing doublets from single-cell RNA-seq data.",MIT,"Cell Cycle, Quality Control"
SINCERITIES,MATLAB/R,"10.1093/bioinformatics/btx575, 10.1101/089110","2017-09-14, NA",174,https://github.com/CABSEL/SINCERITIES,"SINCERITIES is a tool for inferring gene regulatory networks from time-stamped cross-sectional single cell transcriptional expression profiles.",BSD-3-Clause,"Gene Networks"
cb_sniffer,Python,"10.1038/s41467-019-11591-1, 10.1101/434746","2019-08-14, NA",173,https://github.com/sridnona/cb_sniffer,"Mutation barcode caller, calls mutant and ref barcodes from 10x single cell data",GPL-3.0,Variants
pCreode,Python,10.1016/j.cels.2017.10.012,2018-01,172,https://github.com/KenLauLab/pCreode,"The term creode was coined by C.H. Waddington, combining the Greek words for “necessary” and “path” to describe the cell state transitional trajectories that define cell fate specification. Our algorithm aims to identify consensus routes from relatively noisy single-cell data and thus we named this algorithm p- (putative) Creode.",GPL-2.0,"Dimensionality Reduction, Ordering, Visualisation"
ACTINN,Python,"10.1093/bioinformatics/btz592, 10.1101/532093","2019-07-29, NA",170,https://github.com/mafeiyang/ACTINN,"ACTINN (Automated Cell Type Identification using Neural Networks) is a bioinformatic tool to quickly and accurately identify cell types in scRNA-Seq.",GPL-3.0,Classification
Augur,R,"10.1038/s41587-020-0605-1, 10.1038/s41596-021-00561-x, 10.1101/2019.12.20.884916","2020-07-20, 2021-06-25, NA",169,https://github.com/neurorestore/Augur,"Augur is an R package to prioritize cell types involved in the response to an experimental perturbation within high-dimensional single-cell data.",MIT,"Dimensionality Reduction, Perturbations, Simulation, Variable Genes, Visualisation"
speckle,R,"10.1093/bioinformatics/btac582, 10.1101/2021.11.28.470236","2022-08-25, NA",168,https://github.com/phipsonlab/speckle,"The speckle package currently contains functions to analyse differences in cell type proportions in single cell RNA-seq data, and to classify cells as male or female",GPL-3.0,"Classification, Normalisation, Visualisation"
CNNC,Python,"10.1073/pnas.1911536116, 10.1101/365007","2019-12-10, NA",167,https://github.com/xiaoyeye/CNNC,"Convolutional neural network co-expression analysis (CNNC)",MIT,"Gene Networks, Gene Sets"
Oscope,R,10.1038/nmeth.3549,2015-08-24,166,,"Oscope: a statistical pipeline for identifying oscillatory genes in unsynchronized single cell RNA-seq experiments.",Artistic-2.0,"Cell Cycle"
anchor,Python,10.1016/j.molcel.2017.06.003,2017-07,164,https://github.com/yeolab/anchor,"Find bimodal, unimodal, and multimodal features in your data",BSD-3-Clause,Modality
bonvoyage,Python,10.1016/j.molcel.2017.06.003,2017-07,164,https://github.com/yeolab/bonvoyage,"Transform percentage-based units into a 2d space to evaluate changes in distribution with both magnitude and direction.",BSD-3-Clause,Transformation
Outrigger,Python,10.1016/j.molcel.2017.06.003,2017-07,164,https://github.com/YeoLab/outrigger,"Outrigger is a program to calculate alternative splicing scores of RNA-Seq data based on junction reads and a de novo, custom annotation created with a graph database, especially made for single-cell analyses.",BSD-3-Clause,"Alternative Splicing"
SiCeLoRe,Java,"10.1038/s41467-020-17800-6, 10.1101/831495","2020-08-12, NA",164,https://github.com/ucagenomix/sicelore,"SiCeLoRe (Single Cell Long Read) is a suite of tools dedicated to cell barcode / UMI assignment and bioinformatics analysis of highly multiplexed single cell Nanopore long read sequencing data.",MIT,"Allele Specific, Alternative Splicing, UMIs, Variants"
dropEst,C++/R,"10.1101/171496, 10.1186/s13059-018-1449-6","NA, 2018-06-19",163,https://github.com/hms-dbmi/dropEst,"Pipeline for estimating molecular count matrices for droplet-based single-cell RNA-seq measurements.",GPL-3.0,"Quality Control, Quantification, UMIs, Visualisation"
SAVER-X,R,"10.1038/s41592-019-0537-1, 10.1101/457879, 10.1145/3311790.3399617","2019-08-30, NA, 2020-07-21",160,https://github.com/jingshuw/SAVERX,"R package for transfer learning of scRNA-seq denoising.",GPL-2.0-or-later,"Dimensionality Reduction, Imputation"
CellCall,R,10.1093/nar/gkab638,2021-07-31,157,https://github.com/ShellyCoder/cellcall,"Integrating paired ligand-receptor and transcription factor activities for cell-cell communication",Artistic-2.0,"Gene Networks, Gene Sets, Visualisation"
scScope,Python,"10.1038/s41592-019-0353-7, 10.1101/315556","2019-03-18, NA",157,https://github.com/AltschulerWu-Lab/scScope,"scScope is a deep-learning based approach that can accurately and rapidly identify cell-type composition and transcriptional state from noisy single-cell gene-expression profiles containing dropout events and scale to millions of cells.",'-,"Clustering, Imputation, Normalisation"
scGAN,Python,"10.1038/s41467-019-14018-z, 10.1101/390153","2020-01-09, NA",156,https://github.com/imsb-uke/scGAN,"Realistic in silico generation and augmentation of single cell RNA-seq data using Generative Adversarial Neural Networks",MIT,Simulation
SLICER,R,"10.1101/047845, 10.1186/s13059-016-0975-3","NA, 2016-05-23",151,https://github.com/jw156605/SLICER,"Selective Locally linear Inference of Cellular Expression Relationships (SLICER) algorithm for inferring cell trajectories.",GPL-2.0,Ordering
scisorseqr,R/Shell/Awk/Python,"10.1038/s41467-020-20343-5, 10.1101/2020.08.27.268730","2021-01-19, NA",150,https://github.com/noush-joglekar/scisorseqr,"scisorseqr is a linux based R-package for analyzing differential isoform expression in single cells",MIT,"Alignment, Alternative Splicing, Quantification"
ICELLNET,R,"10.1038/s41467-021-21244-x, 10.1093/bioinformatics/btae089, 10.1101/2020.03.05.976878","2021-02-17, 2024-03-15, NA",149,https://github.com/soumelis-lab/ICELLNET,"A transcriptome-based framework to dissect intercellular communication",GPL-3.0,"Gene Networks, Visualisation"
MELD,Python,"10.1038/s41587-020-00803-5, 10.1101/532846","2021-02-08, NA",149,https://github.com/KrishnaswamyLab/MELD,"MELD (Manifold Enhancement of Latent Dimensions), Quantifying the effect of experimental perturbations in scRNA-seq data.",GPL-3.0,"Clustering, Dimensionality Reduction, Integration, Perturbations"
Symphony,R/C++,"10.1038/s41467-021-25957-x, 10.1101/2020.11.18.389189","2021-10-07, NA",149,https://github.com/immunogenomics/symphony,"Efficient and precise single-cell reference atlas mapping with Symphony",GPL-3.0,Classification
solo,Python,"10.1016/j.cels.2020.05.010, 10.1101/841981","2020-07, NA",148,https://github.com/calico/Solo,"solo is a neural network framework to classify doublets, so that you can remove them from your data and clean your single cell profile.",MIT,"Quality Control, Visualisation"
BPSC,R,10.1093/bioinformatics/btw202,2016-04-19,146,https://github.com/nghiavtr/BPSC,"Beta-Poisson model for single-cell RNA-seq data analyses",GPL-3.0,"Differential Expression"
ShinyCell,R,"10.1093/bioinformatics/btab209, 10.1101/2020.10.25.354100","2021-03-28, NA",144,https://github.com/SGDDNB/ShinyCell,"ShinyCell is a R package that allows users to create interactive Shiny-based web applications to visualise single-cell data",GPL-3.0,"Interactive, Visualisation"
Hotspot,Python,"10.1016/j.cels.2021.04.005, 10.1101/2020.02.06.937805","2021-05, NA",143,https://github.com/Yoseflab/Hotspot,"Hotspot is a tool for identifying informative genes (and gene modules) in a single-cell dataset",MIT,"Gene Sets, Marker Genes, Visualisation"
LEAP,R,10.1093/bioinformatics/btw729,2016-12-19,143,https://cran.r-project.org/web/packages/LEAP/index.html,"Constructing Gene Co-Expression Networks for Single-Cell RNA-Sequencing Data Using Pseudotime Ordering.",GPL-2.0,"Gene Networks, Ordering"
scdney,R,"10.1093/bib/bby076, 10.1186/s12859-019-3211-9","2018-08-22, 2019-12-24",142,https://github.com/sydneybiox/scdney,"scdney is a R package with collection of single cell RNA-sequencing (scRNA-seq) data analysis functions",MIT,"Classification, Clustering, Visualisation"
CSN,MATLAB,10.1093/nar/gkz172,2019-03-13,141,https://github.com/wys8c764/CSN,"Cell-specific Network Constructed from Single-cell RNA Sequencing Data",'-,"Gene Networks"
CPA,Python,"10.1101/2021.04.14.439903, 10.15252/msb.202211517","NA, 2023-05-08",140,https://github.com/facebookresearch/CPA,"CPA is a deep generative framework to learn effects of perturbations at the single-cell level",MIT,"Dimensionality Reduction, Perturbations"
powsimR,R,"10.1093/bioinformatics/btx435, 10.1101/117150","2017-07-11, NA",140,https://github.com/bvieth/powsimR,"Power analysis for bulk and single cell RNA-seq experiments",Artistic-2.0,"Simulation, Visualisation"
CellTagR,R,"10.1038/s41596-019-0247-2, 10.1101/335547, 10.1186/s13059-019-1699-y","2020-02-12, NA, 2019-05-09",139,https://github.com/morris-lab/CellTagR,"Identify Clonal Identity from scRNA-seq and CellTag Data",MIT,"Quality Control, Quantification, UMIs, Visualisation"
countClust,R,"10.1101/051631, 10.1371/journal.pgen.1006599","NA, 2017-03-23",138,https://github.com/kkdey/CountClust,"Clustering and Visualizing RNA-Seq Expression Data using Grade of Membership Models. Fits grade of membership models (GoM, also known as admixture models) to cluster RNA-seq gene expression count data, identifies characteristic genes driving cluster memberships, and provides a visual summary of the cluster memberships.",GPL-2.0-or-later,"Clustering, Differential Expression, Dimensionality Reduction, Variable Genes, Visualisation"
AutoImpute,Python/R,10.1038/s41598-018-34688-x,2018-11-05,137,https://github.com/divyanshu-talwar/AutoImpute,"AutoImpute: Autoencoder based imputation of single cell RNA-seq data",MIT,"Imputation, Normalisation, Variable Genes"
FLAMES,Python/C/C++/R,"10.1101/2020.08.10.243543, 10.1186/s13059-021-02525-6","NA, 2021-11-11",137,https://github.com/LuyiTian/FLAMES,"A computational framework to perform single-cell full-length analysis of mutations and splicing",GPL-3.0,"Alignment, Quantification, UMIs, Variants"
MAESTRO,Python/R/C++,10.1186/s13059-020-02116-x,2020-08-07,137,https://github.com/liulab-dfci/MAESTRO,"MAESTRO (Model-based AnalysEs of Single-cell Transcriptome and RegulOme) is a comprehensive single-cell RNA-seq and ATAC-seq analysis suit built using snakemake",GPL-3.0,"Alignment, Classification, Clustering, Dimensionality Reduction, Gene Filtering, Gene Sets, Integration, Quality Control, Quantification, UMIs, Visualisation"
MATCHER,Python,"10.1101/130336, 10.1186/s13059-017-1269-0","NA, 2017-07-24",135,https://github.com/jw156605/MATCHER,"Manifold Alignment to Characterize Experimental Relationships (MATCHER)",MIT,"Expression Patterns, Integration, Ordering, Visualisation"
scone,R,"10.1016/j.cels.2019.03.010, 10.1101/235382","2019-04, NA",135,https://github.com/YosefLab/scone,"SCONE (Single-Cell Overview of Normalized Expression), a package for single-cell RNA-seq data quality control (QC) and normalization. This data-driven framework uses summaries of expression data to assess the efficacy of normalization workflows.",Artistic-2.0,"Gene Filtering, Imputation, Interactive, Normalisation, Quality Control, Visualisation"
Scribe,Python,"10.1016/j.cels.2020.02.003, 10.1101/426981","2020-03, NA",135,https://github.com/aristoteleo/Scribe-py,"A toolkit for detecting and visualizing causal regulations",BSD-3-Clause,"Gene Networks, Visualisation"
SoptSC,MATLAB,"10.1093/nar/gkz204, 10.1101/168922","2019-03-29, NA",133,https://github.com/WangShuxiong/SoptSC,"SoptSC, a computational method for single cell data analysis.",MIT,"Clustering, Dimensionality Reduction, Ordering, Visualisation"
ASAP,R/Python,"10.1093/bioinformatics/btx337, 10.1093/nar/gkaa412, 10.1101/096222","2017-05-24, 2020-05-25, NA",131,https://github.com/DeplanckeLab/ASAP,"ASAP : Automated Single-cell Analysis Pipeline",GPL-3.0,"Clustering, Differential Expression, Gene Filtering, Interactive, Normalisation, Visualisation"
SinNLRR,MATLAB,10.1093/bioinformatics/btz139,2019-03-01,131,https://github.com/zrq0123/SinNLRR,"SinNLRR: a robust subspace clustering method for cell type detection by nonnegative and low rank representation",'-,"Clustering, Dimensionality Reduction, Normalisation"
CellTrek,R,"10.1038/s41587-022-01233-1, 10.1101/2021.11.24.469915","2022-03-21, NA",130,https://github.com/navinlabcode/CellTrek,"CellTrek is a computational framework that can directly map single cells back to their spatial coordinates in tissue sections based on scRNA-seq and ST data",'-,"Integration, Interactive, Visualisation"
dittoSeq,R,10.1093/bioinformatics/btaa1011,2020-12-12,129,https://github.com/dtm2451/DittoSeq,"A set of functions built to enable analysis and visualization of single-cell and bulk RNA-sequencing data by novice, experienced, and color blind coders",MIT,Visualisation
scIGANs,Python/R,"10.1093/nar/gkaa506, 10.1101/2020.01.20.913384","2020-06-26, NA",126,https://github.com/xuyungang/scIGANs,"scIGANs is a computational tool for single-cell RNA-seq imputation and denoise using Generative Adversarial Networks (GANs)",GPL-3.0,Imputation
geosketch,Python,"10.1016/j.cels.2019.05.003, 10.1101/536730","2019-06, NA",125,https://github.com/brianhie/geosketch,"geosketch is a Python package that implements the geometric sketching algorithm for subsampling cells",MIT,"Dimensionality Reduction"
reCAT,R,10.1038/s41467-017-00039-z,2017-06-19,125,https://github.com/tinglab/reCAT,"reCAT is a modelling framework for unsynchronized single-cell transcriptome data that can reconstruct a high-resolution cell cycle time-series.",'-,"Cell Cycle, Clustering, Ordering, Visualisation"
scClassify,R,"10.1101/776948, 10.15252/msb.20199389","NA, 2020-06-22",125,https://github.com/SydneyBioX/scClassify,"Single cell classification via cell-type hierarchies based on ensemble learning and sample size estimation.",GPL-3.0,"Classification, Visualisation"
densVis,Python/MATLAB/C++,"10.1038/s41587-020-00801-7, 10.1101/2020.05.12.077776","2021-01-18, NA",124,https://github.com/hhcho/densvis,"Density-preserving data visualization tools den-SNE and densMAP, augmenting the tools t-SNE and UMAP respectively",MIT,"Dimensionality Reduction"
scirpy,Python,"10.1093/bioinformatics/btaa611, 10.1101/2020.04.10.035865","2020-07-02, NA",124,https://github.com/icbi-lab/scirpy,"Scirpy is a scalable python-toolkit to analyze T cell receptor (TCR) repertoires from single-cell RNA sequencing (scRNA-seq) data",BSD-3-Clause,"Immune, Visualisation"
scAI,R/MATLAB,10.1186/s13059-020-1932-8,2020-02-03,123,https://github.com/sqjin/scAI,"scAI: a single cell Aggregation and Integration method for analyzing single cell multi-omics data",GPL-3.0,"Clustering, Dimensionality Reduction, Integration, Marker Genes, Visualisation"
BRIE,Python,"10.1101/098517, 10.1101/2020.11.04.368019, 10.1186/s13059-017-1248-5, 10.1186/s13059-021-02461-5","NA, NA, 2017-06-27, 2021-08-27",119,https://github.com/huangyh09/brie,"BRIE (Bayesian regression for isoform estimate) is a Bayesian method to estimate isoform proportions from RNA-seq data.",Apache-2.0,"Alternative Splicing, Quantification"
scTE,Python,"10.1038/s41467-021-21808-x, 10.1101/2020.07.23.218800","2021-03-05, NA",119,https://github.com/JiekaiLab/scTE,"Quantifying transposable element (TEs) expression from single-cell sequencing data",MIT,"Alignment, Quantification"
SciBet,R/C++,"10.1038/s41467-020-15523-2, 10.1101/645358","2020-04-14, NA",118,https://github.com/PaulingLiu/scibet,"A single-cell classifier that accurately predicts cell identity for newly sequenced cells or cell clusters",BSD-3-Clause,"Classification, Variable Genes"
CaSpER,R,10.1038/s41467-019-13779-x,2020-01-03,117,https://github.com/akdess/CaSpER,"Identify large-scale CNV events from single cell or bulk RNA-Seq data",'-,"Variants, Visualisation"
UnionCom,Python,"10.1093/bioinformatics/btaa443, 10.1101/2020.02.02.931394","2020-07-13, NA",117,https://github.com/caokai1073/UnionCom,"Unsupervised Topological Alignment for Single-Cell Multi-Omics Integration",MIT,Integration
ItClust,Python,"10.1038/s42256-020-00233-7, 10.1101/2020.02.02.931139","2020-10-05, NA",116,https://github.com/jianhuupenn/ItClust,"ItClust is an Iterative Transfer learning algorithm for scRNA-seq clustering",'-,"Classification, Clustering"
MARS,Python,"10.1038/s41592-020-00979-3, 10.1101/2020.02.25.960302","2020-10-19, NA",116,https://github.com/snap-stanford/mars,"A meta-learning approach for cell type discovery in heterogenous single-cell data",MIT,"Classification, Dimensionality Reduction, Integration"
cellsnp-lite,C/Shell/Python/R,"10.1093/bioinformatics/btab358, 10.1101/2020.12.31.424913","2021-05-08, NA",115,https://github.com/single-cell-genetics/cellsnp-lite,"cellsnp-lite aims to pileup the expressed alleles in single-cell or bulk RNA-seq data, which can be directly used for donor deconvolution in multiplexed single-cell RNA-seq data",Apache-2.0,Variants
Spectre,R,"10.1002/cyto.a.24350, 10.1101/2020.10.22.349563","2021-04-26, NA",115,https://github.com/ImmuneDynamics/Spectre,"Spectre is an R package and computational toolkit that enables comprehensive end-to-end integration, exploration, and analysis of high-dimensional cytometry, imaging, or single-cell data from different batches or experiments",MIT,"Classification, Clustering, Differential Expression, Dimensionality Reduction, Expression Patterns, Immune, Integration, Marker Genes, Normalisation, Ordering, Quality Control, Rare Cells, Stem Cells"
DeLorean,R,"10.1093/bioinformatics/btw372, 10.1101/019588","2016-06-17, NA",114,https://github.com/JohnReid/DeLorean,"R package to model time series accounting for noise in the temporal dimension. Specifically designed for single cell transcriptome experiments.",MIT,"Expression Patterns, Gene Filtering, Ordering, Visualisation"
SCSA,Python,"10.1101/2019.12.22.886481, 10.3389/fgene.2020.00490","NA, 2020-05-12",114,https://github.com/bioinfo-ibms-pumc/SCSA,"An automatic tool to annotate cell types from single-cell RNA-seq data, based on a score annotation model combining differentially expressed genes and confidence levels of cell markers in databases",GPL-3.0,"Classification, Gene Sets"
GRNVBEM,MATLAB,10.1093/bioinformatics/btx605,2017-09-25,113,https://github.com/mscastillo/GRNVBEM,"Gene Regulatory Network (GRN) inference from time series or pseudo-time series data using a first-order autoregressive moving average (AR1MA1) model within a variational Bayesian Expectation-Maximization (VBEM) framework.",'-,"Gene Networks"
CSOmap,MATLAB,"10.1038/s41422-020-0353-2, 10.1101/2020.02.13.948521","2020-06-15, NA",112,https://codeocean.com/capsule/2860903/tree/v1,"A computational strategy to infer cellular interaction from scRNA-seq",MIT,"Gene Networks"
dsb,R,"10.1038/s41467-022-29356-8, 10.1101/2020.02.24.963603","2022-04-19, NA",112,https://github.com/niaid/dsb,"An R package for normalizing and denoising antibody derived tag (ADT) data from CITE-seq and derivative assays (TEA-seq, ASAP-seq etc.)",Custom,"Immune, Normalisation, Transformation"
FiRE,Python/C++/R,10.1038/s41467-018-07234-6,2018-11-09,112,https://github.com/princethewinner/FiRE,"FiRE - Finder of Rare Entities",GPL-3.0,"Dimensionality Reduction, Rare Cells, Variable Genes, Visualisation"
scDRS,Python,"10.1038/s41588-022-01167-z, 10.1101/2021.09.24.461597","2022-09-01, NA",112,https://github.com/martinjzhang/scDRS,"scDRS (single-cell disease-relevance score) is a method for associating individual cells in single-cell RNA-seq data with disease GWASs",MIT,Variants
SEACells,Python,"10.1038/s41587-023-01716-9, 10.1101/2022.04.02.486748","2023-03-27, NA",112,https://github.com/dpeerlab/SEACells,"Single-cEll Aggregation for High Resolution Cell States",GPL-2.0,"Clustering, Visualisation"
SingleCellSignatureExplorer,GO/R,"10.1093/nar/gkz601, 10.1101/621805","2019-07-11, NA",112,https://sites.google.com/site/fredsoftwares/products/single-cell-signature-explorer,"Single-Cell Signature Explorer is a package of four software tools dedicated to high throughput signature exploration in single-cell RNA-seq analysis.",'-,"Gene Sets, Visualisation"
dropClust,R/C++,"10.1093/bioinformatics/btz823, 10.1093/nar/gky007, 10.1101/170308, 10.1101/596924","2019-11-06, 2018-01-18, NA, NA",111,https://github.com/debsin/dropClust,"Efficient clustering of ultra-large scRNA-seq data",GPL-3.0,"Clustering, Differential Expression, Dimensionality Reduction, Normalisation, Variable Genes, Visualisation"
ROGUE,R,"10.1038/s41467-020-16904-3, 10.1101/819581","2020-06-22, NA",111,https://github.com/PaulingLiu/ROGUE,"ROGUE: an entropy-based universal metric for assessing the purity of single cell population",BSD-3-Clause,"Clustering, Gene Filtering, Quality Control, Visualisation"
SAFE,R,"10.1093/bioinformatics/bty793, 10.1101/215723","2018-09-08, NA",111,https://github.com/yycunc/SAFEclustering,"SAFE (Single-cell Aggregated clustering From Ensemble): Cluster ensemble for single-cell RNA-seq data",'-,Clustering
slalom,R/Python,"10.1101/087775, 10.1186/s13059-017-1334-8","NA, 2017-11-07",111,https://github.com/bioFAM/slalom,"slalom is a scalable modelling framework for single-cell RNA-seq data that uses gene set annotations to dissect single-cell transcriptome heterogeneity.",Apache-2.0,"Dimensionality Reduction, Gene Sets, Variable Genes, Visualisation"
BERMUDA,Python/R,"10.1101/641191, 10.1186/s13059-019-1764-6","NA, 2019-08-12",110,https://github.com/txWang/BERMUDA,"A novel transfer-learning-based method for batch-effect correction in single cell RNA sequencing (scRNA-seq) data",MIT,Integration
